label,repo,file_path,line,algorithm,severity,confidence,is_test_code,context,code_snippet,repo_url,notes,enrichment_source
?,bc-java,tls/src/main/java/org/bouncycastle/jsse/provider/ProvAlgorithmConstraints.java,26,DSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"""MD2, MD5, SHA1 jdkCA & usage TLSServer, RSA keySize < 1024, DSA keySize < 1024, EC keySize < 224, """,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/edec/KeyPairGeneratorSpi.java,294,X25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,public X448(),https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/jdk1.3/org/bouncycastle/jce/provider/JCESecretKeyFactory.java,216,3DES,HIGH,0.7,False,Regex match — AI enrichment unavailable,public DESede(),https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,tls/src/main/java/org/bouncycastle/tls/TlsUtils.java,175,SHA-1,HIGH,0.7,False,Regex match — AI enrichment unavailable,"result.addElement(SignatureAndHashAlgorithm.getInstance(HashAlgorithm.sha1, SignatureAlgorithm.dsa))",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/edec/BCEdDSAPrivateKey.java,74,Ed25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,eddsaPublicKey = ((Ed25519PrivateKeyParameters)eddsaPrivateKey).generatePublicKey();,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/jdk1.3/org/bouncycastle/pqc/jcajce/provider/ntruprime/NTRULPRimeCipherSpi.java,157,RSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"throw new InvalidKeyException(""Only an RSA public key can be used for wrapping"");",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/edec/SignatureSpi.java,166,Ed25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,public Ed448(),https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pkix/src/main/jdk1.1/org/bouncycastle/operator/jcajce/OperatorHelper.java,111,3DES,HIGH,0.7,False,,"symmetricWrapperAlgNames.put(PKCSObjectIdentifiers.des_EDE3_CBC, ""DESede"");",https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/jdk1.4/org/bouncycastle/jcajce/provider/asymmetric/rsa/CipherSpi.java,420,RSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"throw new ArrayIndexOutOfBoundsException(""too much data for RSA block"");",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,tls/src/main/java/org/bouncycastle/tls/TlsUtils.java,2153,ECDH,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,case CipherSuite.TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256:,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/jdk1.4/org/bouncycastle/jcajce/provider/asymmetric/rsa/CipherSpi.java,333,RSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"throw new ArrayIndexOutOfBoundsException(""too much data for RSA block"");",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pg/src/main/jdk1.5/org/bouncycastle/openpgp/operator/jcajce/JcaPGPKeyConverter.java,468,Ed25519,CRITICAL,0.7,False,,case PublicKeyAlgorithmTags.Ed25519:,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,tls/src/main/java/org/bouncycastle/tls/AbstractTlsClient.java,360,ECDH,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,if (namedGroupRoles.contains(Integers.valueOf(NamedGroupRole.ecdh)),https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pg/src/main/java/org/bouncycastle/openpgp/PGPUtil.java,101,MD5,HIGH,0.7,False,,case HashAlgorithmTags.MD5:,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/jdk1.3/org/bouncycastle/jce/provider/JCESecretKeyFactory.java,458,SHA-1,HIGH,0.7,False,Regex match — AI enrichment unavailable,"super(""PBEWithSHA1And128BitAES-CBC-BC"", null, true, PKCS12, SHA1, 128, 128);",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,tls/src/main/java/org/bouncycastle/tls/TlsUtils.java,3608,ECDH,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,case CipherSuite.TLS_ECDHE_PSK_WITH_AES_256_GCM_SHA384:,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP256K1Curve.java,65,ECDSA,CRITICAL,0.7,False,,return new SecP256K1FieldElement(x);,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,tls/src/main/java/org/bouncycastle/jsse/provider/ProvX509KeyManager.java,789,RSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"if (""RSA"".equalsIgnoreCase(JsseUtils.getPublicKeyAlgorithm(certificate.getPublicKey())))",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/jdk1.4/org/bouncycastle/jcajce/provider/asymmetric/edec/KeyFactorySpi.java,307,X25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,public static class X25519,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,core/src/main/java/org/bouncycastle/crypto/hpke/DHKEM.java,144,X25519,CRITICAL,0.7,False,,return ((X25519PublicKeyParameters)key).getEncoded();,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/compositesignatures/KeyFactorySpi.java,47,Ed25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,import org.bouncycastle.math.ec.rfc8032.Ed448;,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,core/src/main/java/org/bouncycastle/crypto/hpke/DHKEM.java,186,X25519,CRITICAL,0.7,False,,X25519.clampPrivateKey(encoded);,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/SLHDSA.java,91,DSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"""SLH-DSA-SHA2-192F"",",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/jdk1.11/org/bouncycastle/jcajce/provider/asymmetric/edec/KeyFactorySpi.java,301,X25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,public X448(),https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pg/src/main/java/org/bouncycastle/bcpg/PublicKeyUtils.java,49,X25519,CRITICAL,0.7,False,,case PublicKeyAlgorithmTags.X448:,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,pkix/src/main/jdk1.3/org/bouncycastle/operator/jcajce/OperatorHelper.java,290,RSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,// this is reversed as the Sun policy files now allow unlimited strength RSA,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP256K1FieldElement.java,195,ECDSA,CRITICAL,0.9,False,"Returns a square root in the secp256k1 field, used in EC point decompression for ECDSA public key recovery, an operation","return Nat256.eq(x1, t2) ? new SecP256K1FieldElement(t1) : null;",https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/EdEC.java,76,X25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"provider.addAlgorithm(""KeyPairGenerator.X448"", PREFIX + ""KeyPairGeneratorSpi$X448"");",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP384R1Point.java,179,ECDSA,CRITICAL,0.7,False,,"SecP384R1Field.square(Y1Squared, T, tt0);",https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,pkix/src/main/jdk1.1/org/bouncycastle/operator/jcajce/OperatorHelper.java,100,RSA,CRITICAL,0.7,False,,"asymmetricWrapperAlgNames.put(PKCSObjectIdentifiers.rsaEncryption, ""RSA/ECB/PKCS1Padding"");",https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,pg/src/main/java/org/bouncycastle/openpgp/operator/PGPKeyPairGenerator.java,136,X25519,CRITICAL,0.7,False,,* For legacy X25519 keys use {@link #generateLegacyX25519KeyPair()} instead.,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,util/src/main/java/org/bouncycastle/asn1/iana/IANAObjectIdentifiers.java,97,ECDSA,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,/** 1.3.6.1.5.5.7.6.49 id-MLDSA87-ECDSA-P384-SHA512 */,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,pg/src/main/java/org/bouncycastle/openpgp/operator/bc/BcPublicKeyKeyEncryptionMethodGenerator.java,134,X25519,CRITICAL,0.7,False,,// X25519,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,pg/src/main/java/org/bouncycastle/openpgp/api/OpenPGPDefaultPolicy.java,81,Ed25519,CRITICAL,0.7,False,,acceptPublicKeyAlgorithm(PublicKeyAlgorithmTags.Ed25519);,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP256K1FieldElement.java,101,ECDSA,CRITICAL,0.7,False,,return new SecP256K1FieldElement(z);,https://github.com/AnimeshShaw/bc-java,,AI-enriched
?,bc-java,prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/compositesignatures/CompositeIndex.java,83,Ed25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"algorithmNames.put(MiscObjectIdentifiers.id_HashMLDSA44_Ed25519_SHA512, ""HashMLDSA44-Ed25519-SHA512""",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/jdk1.11/org/bouncycastle/jcajce/provider/asymmetric/edec/KeyFactorySpi.java,303,X25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,"super(""X448"", true, x448_type);",https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,tls/src/main/java/org/bouncycastle/tls/TlsUtils.java,3972,ECDH,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,case CipherSuite.TLS_ECDHE_PSK_WITH_AES_128_CCM_SHA256:,https://github.com/AnimeshShaw/bc-java,,Regex-only
?,bc-java,prov/src/main/jdk1.11/org/bouncycastle/jcajce/provider/asymmetric/edec/BC11XDHPrivateKey.java,34,X25519,CRITICAL,0.7,False,Regex match — AI enrichment unavailable,return NamedParameterSpec.X448;,https://github.com/AnimeshShaw/bc-java,,Regex-only
