label,repo,file_path,line,algorithm,severity,confidence,is_test_code,context,code_snippet,repo_url,notes
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,241,DSA,CRITICAL,0.7,False,,"// ""pre-hash"" ML-DSA",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,249,DSA,CRITICAL,0.7,False,,"// ""pure"" SLH-DSA",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/nist/NISTObjectIdentifiers.java,274,DSA,CRITICAL,0.7,False,,"// ""pre-hash"" SLH-DSA",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/pkcs/PKCSObjectIdentifiers.java,94,RC4,CRITICAL,0.85,False,This line defines a production ASN1ObjectIdentifier constant for RC4 encryption algorithm registered under the PKCS encr,"ASN1ObjectIdentifier    rc4                     = encryptionAlgorithm.branch(""4"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/pkcs/PKCSObjectIdentifiers.java,120,MD5,HIGH,0.9,False,This line declares a production ASN1ObjectIdentifier constant for the MD5 digest algorithm under the PKCS digestAlgorith,"ASN1ObjectIdentifier    md5                    = digestAlgorithm.branch(""5"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/pkcs/RSAPrivateKey.java,81,RSA,CRITICAL,0.95,False,"This class implements RSA private key ASN.1 structure parsing and construction, storing RSA-specific fields (modulus, pr","throw new IllegalArgumentException(""wrong version for RSA private key"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/pkcs/RSAPrivateKeyStructure.java,83,RSA,CRITICAL,0.95,False,"This is a production class that parses and stores RSA private key components (modulus, public/private exponents, primes,","throw new IllegalArgumentException(""wrong version for RSA private key"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECNamedCurves.java,406,ECDSA,CRITICAL,0.7,False,,* secp256k1,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECNamedCurves.java,408,ECDSA,CRITICAL,0.7,False,,static X9ECParametersHolder secp256k1 = new X9ECParametersHolder(),https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECNamedCurves.java,478,ECDSA,CRITICAL,0.7,False,,* secp384r1,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECNamedCurves.java,480,ECDSA,CRITICAL,0.7,False,,static X9ECParametersHolder secp384r1 = new X9ECParametersHolder(),https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECNamedCurves.java,1126,ECDSA,CRITICAL,0.7,False,,"defineCurve(""secp256k1"", SECObjectIdentifiers.secp256k1, secp256k1);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECNamedCurves.java,1128,ECDSA,CRITICAL,0.7,False,,"defineCurve(""secp384r1"", SECObjectIdentifiers.secp384r1, secp384r1);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECObjectIdentifiers.java,40,ECDSA,CRITICAL,0.7,False,,/**  secp256k1 OID: 1.3.132.0.10 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECObjectIdentifiers.java,41,ECDSA,CRITICAL,0.85,False,Production OID constant secp256k1 (1.3.132.0.10) is defined as a static final identifier used to reference the secp256k1,"static final ASN1ObjectIdentifier secp256k1 = ellipticCurve.branch(""10"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECObjectIdentifiers.java,72,ECDSA,CRITICAL,0.7,False,,/**  secp384r1 OID: 1.3.132.0.34 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECObjectIdentifiers.java,73,ECDSA,CRITICAL,0.85,False,Production OID constant secp384r1 (1.3.132.0.34) is defined as a static final identifier referencing the NIST P-384 elli,"static final ASN1ObjectIdentifier secp384r1 = ellipticCurve.branch(""34"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECObjectIdentifiers.java,87,ECDSA,CRITICAL,0.7,False,,/**  secp256r1 OID: 1.3.132.0.prime256v1 */,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECObjectIdentifiers.java,88,ECDSA,CRITICAL,0.9,False,"Production OID constant secp256r1 (prime256v1, aliased from X9ObjectIdentifiers) is defined as a static final identifier",static final ASN1ObjectIdentifier secp256r1 = X9ObjectIdentifiers.prime256v1;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/sec/SECObjectIdentifiers.java,108,ECDH,CRITICAL,0.85,False,Production OID constant ecdh (secg-scheme branch 12) is defined as a static final identifier for the Elliptic Curve Diff,"static final ASN1ObjectIdentifier ecdh = secg_scheme.branch(""12"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x509/AuthorityKeyIdentifier.java,95,SHA-1,HIGH,0.92,False,The class imports SHA1Digest and uses it to calculate the Authority Key Identifier (AKI) by computing a SHA-1 hash over ,* Calulates the keyidentifier using a SHA1 hash over the BIT STRING,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x509/X509ObjectIdentifiers.java,31,SHA-1,HIGH,0.95,False,"A production ASN1ObjectIdentifier constant `id_SHA1` is defined and interned for SHA-1 (OID 1.3.14.3.2.26), making it av",* id-SHA1 OBJECT IDENTIFIER ::=,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x509/X509ObjectIdentifiers.java,85,ECDSA,CRITICAL,0.85,False,"A production ASN1ObjectIdentifier constant for `id-ecdsa-with-shake128` is defined, registering the classical ECDSA algo",* id-ecdsa-with-shake128 OBJECT IDENTIFIER  ::=  { iso(1),https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x509/X509ObjectIdentifiers.java,92,ECDSA,CRITICAL,0.85,False,"A production ASN1ObjectIdentifier constant for `id-ecdsa-with-shake256` is defined, registering the classical ECDSA algo",* id-ecdsa-with-shake256 OBJECT IDENTIFIER  ::=  { iso(1),https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/ECNamedCurveTable.java,144,X25519,CRITICAL,0.85,False,"The code maps the string alias 'curve25519' to an OID lookup, enabling resolution of Curve25519 (used for X25519 key exc","if (oid == null && name.equals(""curve25519""))",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/X962NamedCurves.java,192,ECDSA,CRITICAL,0.92,False,This is a production static field defining the P-256 (prime256v1) elliptic curve parameters holder used for ECDSA operat,static X9ECParametersHolder prime256v1 = new X9ECParametersHolder(),https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/X962NamedCurves.java,673,ECDSA,CRITICAL,0.92,False,This is a production curve registration call that registers the prime256v1 (P-256) curve under its OID in the named curv,"defineCurve(""prime256v1"", X9ObjectIdentifiers.prime256v1, prime256v1);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/X9ObjectIdentifiers.java,137,ECDSA,CRITICAL,0.7,False,,"/** Prime Curve prime256v1, OID: 1.2.840.10045.3.1.7 */",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/X9ObjectIdentifiers.java,138,ECDSA,CRITICAL,0.85,False,Production OID constant `prime256v1` (NIST P-256) is defined as a static interface field used throughout the codebase to,"ASN1ObjectIdentifier prime256v1 = primeCurve.branch(""7"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/X9ObjectIdentifiers.java,141,DSA,CRITICAL,0.82,False,The DSA OID family is being defined as production interface constants that identify DSA algorithm parameters and keys in,* DSA,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/X9ObjectIdentifiers.java,152,DSA,CRITICAL,0.9,False,The `id-dsa-with-sha1` OID constant identifies the combined DSA+SHA-1 signature algorithm in ASN.1 certificate and CMS s,* id-dsa-with-sha1 OBJECT IDENTIFIER ::= {,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/asn1/x9/X9ObjectIdentifiers.java,152,SHA-1,HIGH,0.7,False,SHA-1 is embedded in the `id-dsa-with-sha,* id-dsa-with-sha1 OBJECT IDENTIFIER ::= {,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/DSA.java,8,DSA,CRITICAL,0.85,False,This is the core DSA interface definition in BouncyCastle that defines the contract for Digital Signature Algorithm impl,public interface DSA,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/DSAExt.java,10,DSA,CRITICAL,0.82,False,"The DSAExt interface extends the DSA interface, directly coupling this abstraction to classical DSA-style signing algori",extends DSA,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/ECDHBasicAgreement.java,39,ECDH,CRITICAL,0.95,False,"Production initialization of ECDH key agreement that registers constraint checks against the private key parameters, con","CryptoServicesRegistrar.checkConstraints(Utils.getDefaultProperties(""ECDH"", this.key));",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/ECDHBasicAgreement.java,54,ECDH,CRITICAL,0.92,False,Runtime domain parameter validation within the ECDH calculateAgreement method confirms this is live ECDH key exchange lo,"throw new IllegalStateException(""ECDH public key has wrong domain parameters"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/ECDHBasicAgreement.java,63,ECDH,CRITICAL,0.92,False,Infinity-point validation on the ECDH public key confirms active elliptic curve scalar multiplication is being performed,"throw new IllegalStateException(""Infinity is not a valid public key for ECDH"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/ECDHBasicAgreement.java,76,ECDH,CRITICAL,0.92,False,Validation of the computed ECDH shared secret for the infinity point confirms this method produces a live classical Diff,"throw new IllegalStateException(""Infinity is not a valid agreement value for ECDH"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/Utils.java,9,X25519,CRITICAL,0.85,False,Production import of X25519PrivateKeyParameters used to define a utility method that assigns 128-bit security level for ,import org.bouncycastle.crypto.params.X25519PrivateKeyParameters;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/Utils.java,29,X25519,CRITICAL,0.92,False,"Production utility method that hardcodes 128 bits of security for X25519 private key agreement, which is vulnerable to H","static CryptoServiceProperties getDefaultProperties(String algorithm, X25519PrivateKeyParameters k)",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X25519Agreement.java,6,X25519,CRITICAL,0.95,False,Import of X25519PrivateKeyParameters class used to implement the X25519 elliptic-curve Diffie-Hellman key agreement prot,import org.bouncycastle.crypto.params.X25519PrivateKeyParameters;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X25519Agreement.java,7,X25519,CRITICAL,0.95,False,"Import of X25519PublicKeyParameters class used as the peer public key in the X25519 ECDH key agreement, which is vulnera",import org.bouncycastle.crypto.params.X25519PublicKeyParameters;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X25519Agreement.java,12,X25519,CRITICAL,0.97,False,"Field declaration storing an X25519PrivateKeyParameters instance as the long-lived private key for the agreement class, ",private X25519PrivateKeyParameters privateKey;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X25519Agreement.java,16,X25519,CRITICAL,0.97,False,"Unchecked cast of CipherParameters to X25519PrivateKeyParameters during initialization, hardcoding the use of the quantu",this.privateKey = (X25519PrivateKeyParameters)parameters;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X25519Agreement.java,18,X25519,CRITICAL,0.97,False,"CryptoServicesRegistrar constraint check explicitly references 'X25519' as the algorithm identifier, confirming active r","CryptoServicesRegistrar.checkConstraints(Utils.getDefaultProperties(""X25519"", this.privateKey));",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X25519Agreement.java,23,X25519,CRITICAL,0.95,False,"Returns the agreement output size using X25519PrivateKeyParameters.SECRET_SIZE, hardcoding the 32-byte X25519 shared sec",return X25519PrivateKeyParameters.SECRET_SIZE;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X25519Agreement.java,28,X25519,CRITICAL,0.98,False,"Core key agreement computation calling privateKey.generateSecret() with an X25519PublicKeyParameters peer key, directly ","privateKey.generateSecret((X25519PublicKeyParameters)publicKey, buf, off);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/X448Agreement.java,18,X25519,CRITICAL,0.85,False,"The string literal 'X448' is correctly passed to Utils.getDefaultProperties, but the regex candidate flags this line due","CryptoServicesRegistrar.checkConstraints(Utils.getDefaultProperties(""X448"", this.privateKey));",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/XDHBasicAgreement.java,9,X25519,CRITICAL,0.85,False,"Import statement for X25519PrivateKeyParameters, which is actively used in the init() method to detect and configure X25",import org.bouncycastle.crypto.params.X25519PrivateKeyParameters;,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/XDHBasicAgreement.java,30,X25519,CRITICAL,0.9,False,"Production instanceof check that routes X25519PrivateKeyParameters to an X25519Agreement, actively enabling classical (n",if (key instanceof X25519PrivateKeyParameters),https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/ecjpake/ECJPAKECurves.java,40,ECDSA,CRITICAL,0.92,False,"NIST P-256 elliptic curve is instantiated as a static constant for use in EC J-PAKE key agreement, directly exposing the","NIST_P256 = getCurve(""P-256"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/ecjpake/ECJPAKECurves.java,41,ECDSA,CRITICAL,0.92,False,"NIST P-384 elliptic curve is instantiated as a static constant for use in EC J-PAKE key agreement, exposing the protocol","NIST_P384 = getCurve(""P-384"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/agreement/ecjpake/ECJPAKECurves.java,42,ECDSA,CRITICAL,0.92,False,"NIST P-521 elliptic curve is instantiated as a static constant for use in EC J-PAKE key agreement, and while it offers t","NIST_P521 = getCurve(""P-521"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/constraints/Utils.java,15,RC4,CRITICAL,0.85,False,"The string literal 'RC4' is used as a key in a set of algorithm exceptions to bypass cryptographic constraint checking, ","if (exceptions.contains(""RC4""))",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/constraints/Utils.java,17,RC4,CRITICAL,0.85,False,"The string literal 'ARC4' is added to the exceptions set when 'RC4' is already present, actively expanding the whitelist","exceptions.add(""ARC4"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/constraints/Utils.java,19,RC4,CRITICAL,0.85,False,"The string literal 'ARC4' is checked in the exceptions set as the alternate name for RC4, with the intent of also whitel","else if (exceptions.contains(""ARC4""))",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/constraints/Utils.java,21,RC4,CRITICAL,0.85,False,"The string literal 'RC4' is added to the exceptions set when 'ARC4' is detected, completing the bidirectional alias mapp","exceptions.add(""RC4"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/digests/MD5Digest.java,83,MD5,HIGH,0.95,False,"The getAlgorithmName() method returns the string 'MD5', identifying and advertising this class as an active MD5 digest i","return ""MD5"";",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/digests/SHA1Digest.java,97,SHA-1,HIGH,0.85,False,"The getAlgorithmName() method returns the string 'SHA-1', identifying this class as an active SHA-1 digest implementatio","return ""SHA-1"";",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/DESedeEngine.java,48,3DES,HIGH,0.92,False,"This line is inside the active init() method of the production DESedeEngine class, confirming Triple DES key scheduling ","throw new IllegalArgumentException(""invalid parameter passed to DESede init - "" + params.getClass().",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/DESedeEngine.java,84,3DES,HIGH,0.92,False,"The getAlgorithmName() method returns the string 'DESede', confirming this engine is actively registered and identified ","return ""DESede"";",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/DESedeEngine.java,100,3DES,HIGH,0.92,False,"This line is inside the processBlock() method of the production DESedeEngine, confirming that Triple DES block encryptio","throw new IllegalStateException(""DESede engine not initialised"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/DESedeWrapEngine.java,55,SHA-1,HIGH,0.95,False,SHA-1 digest instance is instantiated as a class field used for computing integrity checksums during key wrapping operat,Digest  sha1 = DigestFactory.createSHA1();,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/DESedeWrapEngine.java,125,3DES,HIGH,0.92,False,The getAlgorithmName() method actively returns 'DESede' identifying this engine as a live 3DES-based key wrapping implem,"return ""DESede"";",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/DESedeWrapEngine.java,319,SHA-1,HIGH,0.95,False,SHA-1 digest instance (sha1) is actively used to hash the key being wrapped as part of the RFC 3217 integrity check comp,"sha1.update(key, 0, key.length);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/DESedeWrapEngine.java,320,SHA-1,HIGH,0.7,False,,"sha1.doFinal(digest, 0);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RC2WrapEngine.java,47,SHA-1,HIGH,0.95,False,SHA-1 digest instance is instantiated as a class-level field in RC2WrapEngine for computing key checksums during the RFC,Digest  sha1 = DigestFactory.createSHA1();,https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RC2WrapEngine.java,361,SHA-1,HIGH,0.95,False,"The SHA-1 digest instance is actively used to hash the key being wrapped by calling `sha1.update(key, 0, key.length)` as","sha1.update(key, 0, key.length);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RC2WrapEngine.java,362,SHA-1,HIGH,0.95,False,"The SHA-1 digest is finalized via `sha1.doFinal(digest, 0)` to produce the 20-byte checksum of the key material being wr","sha1.doFinal(digest, 0);",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RC4Engine.java,65,RC4,CRITICAL,0.95,False,"The getAlgorithmName() method returns the string 'RC4', identifying this production class as a live RC4 stream cipher im","return ""RC4"";",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RSABlindedEngine.java,86,RSA,CRITICAL,0.85,False,"This is a runtime exception message referencing an uninitialized RSA engine in production code, indicating active RSA en","throw new IllegalStateException(""RSA engine not initialised"");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RSACoreEngine.java,22,RSA,CRITICAL,0.85,False,This is a system property constant string used to disable the Lenstra fault-attack check in the RSA decryption/signing p,"static final String NO_LENSTRA_CHECK = ""org.bouncycastle.rsa.no_lenstra_check"";",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RSACoreEngine.java,46,RSA,CRITICAL,0.95,False,This line registers a live RSA cryptographic service constraint check with the algorithm name 'RSA' and actual key param,"CryptoServicesRegistrar.checkConstraints(new DefaultServiceProperties(""RSA"", bitsOfSecurity, key, pu",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RSACoreEngine.java,98,RSA,CRITICAL,0.9,False,"This line throws a `DataLengthException` enforcing RSA input size limits during encryption or decryption, representing a","throw new DataLengthException(""input too large for RSA cipher."");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RSACoreEngine.java,102,RSA,CRITICAL,0.7,False,,"throw new DataLengthException(""input too large for RSA cipher."");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RSACoreEngine.java,121,RSA,CRITICAL,0.7,False,,"throw new DataLengthException(""input too large for RSA cipher."");",https://github.com/AnimeshShaw/bc-java,
?,bc-java,core/src/main/java/org/bouncycastle/crypto/engines/RSACoreEngine.java,218,RSA,CRITICAL,0.7,False,,"throw new IllegalStateException(""RSA engine faulty decryption/signing detected"");",https://github.com/AnimeshShaw/bc-java,
